iter	RMSE
224	2.712920719
225	2.70916985
226	2.70731242
227	2.703176432
228	2.699009891
229	2.694134392
230	2.691954524
231	2.688250007
232	2.686303153
233	2.684468506
234	2.682236913
235	2.678188209
236	2.674777518
237	2.670584091
238	2.668989549
239	2.666334734
240	2.663753622
241	2.661289601
242	2.658213537
243	2.654834185
244	2.651735736
245	2.648943757
246	2.646453275
247	2.642710843
248	2.639385719
249	2.636750962
250	2.63342822
251	2.631377653
252	2.628878542
253	2.626478371
254	2.624023835
255	2.620642301
256	2.618318019
257	2.615500946
258	2.613391409
259	2.6109631
260	2.608546594
261	2.607813851
262	2.605806328
263	2.603534091
264	2.602923819
265	2.600261568
266	2.596735103
267	2.593347355
268	2.589524406
269	2.586381666
270	2.584530227
271	2.5840393
272	2.583321664
273	2.582190392
274	2.581616481
275	2.581353497
276	2.579186943
277	2.576292193
278	2.574115901
279	2.573007276
280	2.57044242
281	2.567507007
282	2.567000009
283	2.564346139
284	2.562274267
285	2.56005583
286	2.558354832
287	2.556823185
288	2.555692013
289	2.553542024
290	2.550664431
291	2.550307284
292	2.548216058
293	2.547114759
294	2.544650504
295	2.543286398
296	2.541021879
297	2.54058134
298	2.538999595
299	2.537687519
300	2.535601343
301	2.533996447
302	2.53114338
303	2.530502514
304	2.529044575
305	2.527427779
306	2.52528585
307	2.524439053
308	2.521320019
309	2.518967245
310	2.517313509
311	2.515411981
312	2.512371915
313	2.511392377
314	2.510965724
315	2.509342912
316	2.507629158
317	2.504980801
318	2.503831971
319	2.50171787
320	2.501300722
321	2.499426251
322	2.49841827
323	2.496931899
324	2.494932383
325	2.492810097
326	2.490798183
327	2.489607761
328	2.48941822
329	2.487554566
330	2.487117576
331	2.485229961
332	2.482817602
333	2.481691509
334	2.48132619
335	2.479769641
336	2.478237528
337	2.476844678
338	2.47457081
339	2.473807317
340	2.472151542
341	2.470183929
342	2.468513043
343	2.466990922
344	2.464752058
345	2.464448107
346	2.462271893
347	2.459893766
348	2.457785507
349	2.455995918
350	2.45408757
351	2.453907799
352	2.452739321
353	2.452582061
354	2.450343379
355	2.448726478
356	2.448576799
357	2.446865864
358	2.445292921
359	2.44342257
360	2.44140223
361	2.441235259
362	2.439788798
363	2.438141631
364	2.436742516
365	2.434037826
366	2.433398031
367	2.433305315
368	2.4313528
369	2.430278491
370	2.429710957
371	2.428287226
372	2.426980583
373	2.425291055
374	2.425051663
375	2.423923701
376	2.422641886
377	2.42137477
378	2.420142022
379	2.418737842
380	2.416606993
381	2.415761866
382	2.414163799
383	2.412394987
384	2.410938012
385	2.409862362
386	2.408814082
387	2.40695577
388	2.405637976
389	2.405509253
390	2.40466801
391	2.403956263
392	2.403059684
393	2.402913396
394	2.401228064
395	2.399751772
396	2.39885461
397	2.39756137
398	2.395452149
399	2.394145247
400	2.392873678
401	2.391770868
402	2.390576882
403	2.389529319
404	2.388041356
405	2.387177858
406	2.385464493
407	2.384626657
408	2.383239411
409	2.381895966
410	2.381034498
411	2.379541675
412	2.378409046
413	2.3765108
414	2.375085338
415	2.375009944
416	2.373363431
417	2.372574448
418	2.372180348
419	2.370836017
420	2.368771209
421	2.367493311
422	2.366133779
423	2.366015414
424	2.364911024
425	2.364031645
426	2.362631234
427	2.361591863
428	2.360497711
429	2.358983909
430	2.358446405
431	2.357081306
432	2.356794837
433	2.356689749
434	2.356581623
435	2.355752207
436	2.354592529
437	2.353193089
438	2.35179955
439	2.35064522
440	2.349335421
441	2.348544239
442	2.347223236
443	2.347054409
444	2.345996673
445	2.344991778
446	2.34427292
447	2.343129652
448	2.341692234
449	2.340749023
450	2.340647829
451	2.340379804
452	2.33935062
453	2.338174886
454	2.337196104
455	2.336363561
456	2.335590325
457	2.334596555
458	2.333721345
459	2.332551882
460	2.33236934
461	2.331429869
462	2.330277182
463	2.328927763
464	2.327964406
465	2.326942645
466	2.326846218
467	2.3257473
468	2.324568351
469	2.323850295
470	2.322871615
471	2.322322517
472	2.321881018
473	2.320641084
474	2.319825226
475	2.319370514
476	2.318226682
477	2.31759661
478	2.316603386
479	2.315404905
480	2.314295407
481	2.313380966
482	2.312078609
483	2.311505748
484	2.31117568
485	2.310197492
486	2.309550754
487	2.307935006
488	2.306458737
489	2.306340402
490	2.305514064
491	2.305207941
492	2.304831378
493	2.303995646
494	2.303361886
495	2.302514402
496	2.301601434
497	2.300882777
498	2.300832371
499	2.300278095
500	2.300121112
501	2.299545956
502	2.298849248
503	2.29790732
504	2.297254412
505	2.29634627
506	2.295917212
507	2.295115063
508	2.295059692
509	2.294340957
510	2.293580896
511	2.292459678
512	2.291258596
513	2.29076368
514	2.28984399
515	2.289112282
516	2.288212229
517	2.287862473
518	2.286780365
519	2.285616834
520	2.285232604
521	2.284725942
522	2.283765021
523	2.282988682
524	2.281557924
525	2.281486995
526	2.280999354
527	2.280103518
528	2.278770526
529	2.278200877
530	2.277669949
531	2.277262987
532	2.27652423
533	2.275883
534	2.274858945
535	2.274617593
536	2.273849968
537	2.273095617
538	2.272180735
539	2.27200689
540	2.271304232
541	2.270800227
542	2.270117537
543	2.269494917
544	2.26942396
545	2.26868338
546	2.267913836
547	2.267281492
548	2.266210071
549	2.265665603
550	2.264958427
551	2.264253963
552	2.263544369
553	2.26280673
554	2.261772694
555	2.260927635
556	2.260586867
557	2.260136393
558	2.259526946
559	2.258463145
560	2.257846519
561	2.25773465
562	2.256755917
563	2.256083144
564	2.255246271
565	2.254621587
566	2.254108712
567	2.253658154
568	2.252868959
569	2.252080148
570	2.251972405
571	2.251325572
572	2.250226358
573	2.249731304
574	2.249104283
575	2.248286231
576	2.247507599
577	2.246862204
578	2.246247558
579	2.24564297
580	2.245080584
581	2.243949285
582	2.24306125
583	2.242115401
584	2.241396843
585	2.24073835
586	2.239998
587	2.239191143
588	2.238449866
589	2.237728726
590	2.237599986
591	2.236976772
592	2.236516638
593	2.2364657
594	2.235527714
595	2.234652231
596	2.23404973
597	2.233522884
598	2.233383971
599	2.233040701
600	2.232474896
601	2.231733243
602	2.231689218
603	2.231547293
604	2.231004473
605	2.230955425
606	2.230176174
607	2.229550436
608	2.228809351
609	2.228253349
610	2.227402248
611	2.226948822
612	2.226359479
613	2.22561574
614	2.224995392
615	2.224130459
616	2.223415546
617	2.222989098
618	2.222886521
619	2.221998728
620	2.221141251
621	2.220482878
622	2.220103818
623	2.219977875
624	2.218937013
625	2.218531254
626	2.217637508
627	2.217042992
628	2.216559637
629	2.216014604
630	2.215932795
631	2.215057657
632	2.214339971
633	2.213569608
634	2.212907538
635	2.212364344
636	2.21161246
637	2.210719408
638	2.210044316
639	2.209330918
640	2.209052495
641	2.208509295
642	2.20754088
643	2.206921779
644	2.206348179
645	2.2056909
646	2.205122146
647	2.204300767
648	2.203680133
649	2.203253176
650	2.202795252
651	2.202207415
652	2.201696113
653	2.201059353
654	2.200461086
655	2.199947083
656	2.199379768
657	2.198672318
658	2.198235067
659	2.19727834
660	2.196839542
661	2.196427392
662	2.196126014
663	2.195431828
664	2.194546408
665	2.194038414
666	2.193559958
667	2.192876171
668	2.192564389
669	2.192086793
670	2.191620409
671	2.190949135
672	2.190453104
673	2.190044107
674	2.189886797
675	2.189449348
676	2.188745603
677	2.188033839
678	2.187316556
679	2.187247703
680	2.18695849
681	2.186383523
682	2.185736582
683	2.18523722
684	2.184791559
685	2.184227472
686	2.183548306
687	2.183011194
688	2.18262923
689	2.182167631
690	2.181719694
691	2.181252247
692	2.180863158
693	2.1803222
694	2.179735457
695	2.179179804
696	2.17865773
697	2.178258991
698	2.177610075
699	2.177538646
700	2.177100411
701	2.176988967
702	2.176336731
703	2.175908608
704	2.175403897
705	2.174825042
706	2.174076746
707	2.173758071
708	2.173317594
709	2.172930302
710	2.172512177
711	2.172143737
712	2.171572603
713	2.17154608
714	2.171190061
715	2.170600851
716	2.169768523
717	2.169590671
718	2.169085262
719	2.168705695
720	2.168161133
721	2.167597996
722	2.167527688
723	2.167011434
724	2.166440363
725	2.165842135
726	2.165338901
727	2.165297205
728	2.165011799
729	2.164365999
730	2.163900013
731	2.163509876
732	2.162972923
733	2.162702045
734	2.162290136
735	2.161864245
736	2.161323489
737	2.160855273
738	2.160471831
739	2.15991951
740	2.159309402
741	2.158628764
742	2.158196596
743	2.157865495
744	2.157478958
745	2.157015404
746	2.156857264
747	2.156418964
748	2.155875713
749	2.15552962
750	2.155248928
751	2.154827926
752	2.154526174
753	2.154113467
754	2.153627996
755	2.153241072
756	2.152888301
757	2.152443193
758	2.151864076
759	2.151405961
760	2.151022446
761	2.150558661
762	2.150084265
763	2.150027144
764	2.149586395
765	2.149140296
766	2.148873022
767	2.148690312
768	2.148280707
769	2.147834821
770	2.147303023
771	2.146577649
772	2.146387632
773	2.145964419
774	2.145525553
775	2.144983972
776	2.144654054
777	2.144201423
778	2.143881223
779	2.143819671
780	2.143658511
781	2.143350454
782	2.14306344
783	2.142786015
784	2.14232741
785	2.141887147
786	2.141642888
787	2.141017648
788	2.140677315
789	2.140331862
790	2.139902993
791	2.139457994
792	2.139164123
793	2.138572677
794	2.138113896
795	2.137590529
796	2.137125342
797	2.136891174
798	2.136518302
799	2.136280985
800	2.135990655
801	2.135933869
802	2.135613101
803	2.134992983
804	2.134433728
805	2.134078592
806	2.133720389
807	2.133690045
808	2.133421812
809	2.133018991
810	2.132574899
811	2.13219072
812	2.131691038
813	2.131331855
814	2.131033378
815	2.130998318
816	2.130649763
817	2.130071709
818	2.129558383
819	2.1293137
820	2.129276943
821	2.128750745
822	2.128377461
823	2.128052319
824	2.127732513
825	2.127235116
826	2.126764615
827	2.126714642
828	2.126281178
829	2.126252065
830	2.125746956
831	2.125698112
832	2.125350089
833	2.124814278
834	2.124546225
835	2.124051515
836	2.123652839
837	2.123288737
838	2.122581683
839	2.122207935
840	2.121773934
841	2.121443037
842	2.121050158
843	2.120731012
844	2.120457346
845	2.120014238
846	2.119671989
847	2.119460787
848	2.118891619
849	2.118262112
850	2.11806208
851	2.117792136
852	2.117241005
853	2.116826379
854	2.11672552
855	2.116440312
856	2.116300439
857	2.116273635
858	2.115900814
859	2.115532805
860	2.114973421
861	2.114515934
862	2.114152473
863	2.113699071
864	2.113268965
865	2.113178192
866	2.112681947
867	2.112235105
868	2.111864438
869	2.111576589
870	2.111008514
871	2.110775976
872	2.110413059
873	2.109868625
874	2.109542985
875	2.109158689
876	2.108697888
877	2.108237112
878	2.10769589
879	2.10734609
880	2.107017915
881	2.106707685
882	2.10650716
883	2.106031314
884	2.105682277
885	2.105032809
886	2.104669613
887	2.104392454
888	2.104009815
889	2.103583701
890	2.103292819
891	2.103086863
892	2.102826992
893	2.102148323
894	2.101757431
895	2.101574381
896	2.101188854
897	2.101140362
898	2.100705113
899	2.100416911
900	2.100391996
901	2.100214444
902	2.099834336
903	2.099473952
904	2.099060439
905	2.098630653
906	2.098160486
907	2.097899477
908	2.097649748
909	2.097344401
910	2.097189562
911	2.09658218
912	2.096457108
913	2.096201887
914	2.09578449
915	2.095523164
916	2.095267374
917	2.095078835
918	2.094845208
919	2.094272514
920	2.093440379
921	2.093096493
922	2.092710639
923	2.092406467
924	2.092105714
925	2.091771652
926	2.091538975
927	2.091391882
928	2.091345954
929	2.091072615
930	2.090870896
931	2.090443748
932	2.090161566
933	2.089623801
934	2.089273255
935	2.088987807
936	2.088653883
937	2.088222985
938	2.087841815
939	2.087559107
940	2.087312998
941	2.086759762
942	2.086431236
943	2.086174323
944	2.085756097
945	2.085410208
946	2.085007005
947	2.084645769
948	2.084338886
949	2.083852558
950	2.08339453
951	2.083020907
952	2.082588523
953	2.082018552
954	2.081373234
955	2.081066301
956	2.080771751
957	2.080342055
958	2.080042376
959	2.079630083
960	2.079319056
961	2.078853429
962	2.078435364
963	2.077949617
964	2.077631218
965	2.076709929
966	2.07647228
967	2.076151168
968	2.075712623
969	2.075687033
970	2.075396045
971	2.075185463
972	2.074912907
973	2.074889802
974	2.07451119
975	2.07430138
976	2.074010878
977	2.073701663
978	2.073248757
979	2.072911723
980	2.072500551
981	2.072341997
982	2.072012826
983	2.071652334
984	2.071447847
985	2.071070809
986	2.070767674
987	2.07059554
988	2.070357901
989	2.069964018
990	2.069611765
991	2.069168061
992	2.068896788
993	2.068536981
994	2.06810369
995	2.067913138
996	2.067724551
997	2.067362252
998	2.067097185
999	2.066757543
